file,course,source,start,end,text
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:09,0:42,music music you music music you welcome to the nptel mooc on discrete welcome to the nptel mooc on discrete mathematics we begin our study of mathematics we begin our study of mathematics we begin our study of mathematical logic today and we begin mathematical logic today and we begin
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,0:42,1:16,mathematical logic today and we begin with propositional calculus propositional calculus is also called propositional calculus is also called propositional logic sentential logic zerothorder logic as opposed to zerothorder logic as opposed to firstorder logic which is a richer firstorder logic which is a richer firstorder logic which is a richer logic and we shall study later in
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:16,1:30,logic and we shall study later in logic and we shall study later in propositional calculus we deal with propositional calculus we deal with propositional calculus we deal with propositions these propositions take on propositions these propositions take on propositions these propositions take on truth values the only semantic entities
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:30,1:43,truth values the only semantic entities truth values the only semantic entities that we deal in propositional calculus that we deal in propositional calculus that we deal in propositional calculus are truth values the truth values could are truth values the truth values could are truth values the truth values could be or or true or false corresponds
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,1:43,2:05,be or or true or false corresponds be or or true or false corresponds to false and corresponds to there to false and corresponds to there to false and corresponds to there are only two twos are only two twos are only two twos there is no third truth value
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:05,2:21,music music propositions take on truth values as i propositions take on truth values as i propositions take on truth values as i mentioned there are what are called mentioned there are what are called mentioned there are what are called atomic propositions for these atomic atomic propositions for these atomic
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:21,2:37,atomic propositions for these atomic propositions the truth values are given that is we do not analyze these atomic that is we do not analyze these atomic propositions to find out how they became propositions to find out how they became propositions to find out how they became true or false we just know that they are
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:37,2:44,true or false we just know that they are true or false we just know that they are true or false and then we can combine true or false and then we can combine true or false and then we can combine atomic propositions to form what are atomic propositions to form what are
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:44,2:59,atomic propositions to form what are called composite propositions composite called composite propositions composite called composite propositions composite propositions are made using atomic propositions are made using atomic propositions are made using atomic propositions and these atomic propositions and these atomic propositions and these atomic propositions are combined using logical
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,2:59,3:18,propositions are combined using logical propositions are combined using logical connectives that is composite connectives that is composite connectives that is composite propositions are synthesized from atomic propositions are synthesized from atomic propositions are synthesized from atomic propositions using logical connectives propositions using logical connectives propositions using logical connectives we can compute the truth values of
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:18,3:34,we can compute the truth values of we can compute the truth values of composite propositions using the truth values of its using the truth values of its constituents and also the properties of constituents and also the properties of constituents and also the properties of logical connectives this essentially
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:34,3:58,logical connectives this essentially logical connectives this essentially gives us an algebra of truth values music music algebra of and this algebra is algebra of and this algebra is algebra of and this algebra is called called called boolean algebra after mathematician boolean algebra after mathematician boolean algebra after mathematician george boole so let us begin with a
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,3:58,4:05,george boole so let us begin with a george boole so let us begin with a study of this algebra boolean algebra study of this algebra boolean algebra study of this algebra boolean algebra which is the underlying algebra of which is the underlying algebra of which is the underlying algebra of propositional calculus so in boolean
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,4:05,4:23,propositional calculus so in boolean propositional calculus so in boolean algebra we have what are called boolean algebra we have what are called boolean algebra we have what are called boolean functions a boolean function has a functions a boolean function has a functions a boolean function has a signature of this form a boolean
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,4:23,4:34,signature of this form a boolean signature of this form a boolean function is a mapping from to truth function is a mapping from to truth function is a mapping from to truth values so a boolean function with n values so a boolean function with n values so a boolean function with n inputs an invariable boolean function
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,4:34,4:48,inputs an invariable boolean function inputs an invariable boolean function takes n truth values as inputs and takes n truth values as inputs and takes n truth values as inputs and produces one truth value as the output so let us consider truth values of so let us consider truth values of boolean functions for various values of
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,4:48,4:58,boolean functions for various values of boolean functions for various values of n when n equal to that means when n when n equal to that means when n when n equal to that means when there is no input there are two boolean there is no input there are two boolean
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,4:58,5:09,there is no input there are two boolean functions one is the constant boolean functions one is the constant boolean functions one is the constant boolean function true which always produces one function true which always produces one function true which always produces one and then the constant boolean function f
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,5:09,5:20,and then the constant boolean function f and then the constant boolean function f which always produces so these are the which always produces so these are the which always produces so these are the variable boolean functions when we variable boolean functions when we variable boolean functions when we consider one variable boolean functions
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,5:20,5:37,we are considering functions that take we are considering functions that take one boolean value as input and produce one boolean value as input and produce one boolean value as input and produce one boolean value as output functions of one boolean value as output functions of one boolean value as output functions of this signature
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,5:37,5:49,this signature this signature such a function can be specified using such a function can be specified using such a function can be specified using what is called a tooth table in a truth what is called a tooth table in a truth what is called a tooth table in a truth table we list the inputs so in this case
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,5:49,5:57,table we list the inputs so in this case table we list the inputs so in this case there is only one input and specify the there is only one input and specify the there is only one input and specify the possible outputs so input here could be possible outputs so input here could be
200.json,Discrete Mathematics by Prof Sudarshan Iyengar,NPTEL,5:57,6:08,possible outputs so input here could be either or if the input is what either or if the input is what either or if the input is what would the output be if the input is would the output be if the input is would the output be if the input is what is going to be the output once you
