file,course,source,start,end,text
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,0:09,0:38,music music you music music you welcome to the lectures on graph theory welcome to the lectures on graph theory in this section we will learn about in this section we will learn about in this section we will learn about various kind of graphs you can think of various kind of graphs you can think of
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,0:38,0:45,various kind of graphs you can think of functions and their graphs but these functions and their graphs but these functions and their graphs but these graphs are very different graphs the graphs are very different graphs the graphs are very different graphs the only commonality between the two of them
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,0:45,0:54,only commonality between the two of them only commonality between the two of them is that both are pictorial is that both are pictorial is that both are pictorial representations of you can think of them representations of you can think of them representations of you can think of them as pictorial representations of certain
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,0:54,1:05,as pictorial representations of certain as pictorial representations of certain mathematical objects our graphical mathematical objects our graphical mathematical objects our graphical representations of certain mathematical representations of certain mathematical representations of certain mathematical objects so lets formally define what is objects so lets formally define what is objects so lets formally define what is our graph so its usually denoted by the
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,1:05,1:12,our graph so its usually denoted by the our graph so its usually denoted by the letter g and the graph will have two letter g and the graph will have two letter g and the graph will have two components the first is going to be components the first is going to be
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,1:12,1:21,components the first is going to be called as a vertex set which we will called as a vertex set which we will called as a vertex set which we will denote by the letter v okay so this is a denote by the letter v okay so this is a
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,1:21,1:36,denote by the letter v okay so this is a finite set and this finite set we will finite set and this finite set we will finite set and this finite set we will regard it as the vertex set the regard it as the vertex set the regard it as the vertex set the finiteness assumption is not sacrosanct
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,1:36,1:41,finiteness assumption is not sacrosanct finiteness assumption is not sacrosanct we can have graphs where the vertex set we can have graphs where the vertex set we can have graphs where the vertex set is infinite but for the time being we is infinite but for the time being we
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,1:41,1:51,is infinite but for the time being we will restrict ourselves to finite sets will restrict ourselves to finite sets will restrict ourselves to finite sets and then the second component of graphs and then the second component of graphs and then the second component of graphs is the edge set which we will denote by
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,1:51,2:05,is the edge set which we will denote by is the edge set which we will denote by e so this is again a set so we will e so this is again a set so we will e so this is again a set so we will think of them as two subsets of v in
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,2:05,2:16,think of them as two subsets of v in think of them as two subsets of v in other words look at the power set to other words look at the power set to other words look at the power set to power v from this consider all the power v from this consider all the
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,2:16,2:29,power v from this consider all the subsets of size to any subset of that subsets of size to any subset of that subsets of size to any subset of that will essentially be the edge set well will essentially be the edge set well will essentially be the edge set well see an example suppose our vertex set
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,2:29,2:47,see an example suppose our vertex set see an example suppose our vertex set suppose our vertex set is lets say suppose our vertex set is lets say suppose our vertex set is lets say amp our head set is going to be our head set is going to be two element subsets but its set is
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,2:47,3:06,two element subsets but its set is two element subsets but its set is going to be a subset consisting of two going to be a subset consisting of two going to be a subset consisting of two element subsets so if you think of this particular graph so if you think of this particular graph it has two components the first being
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,3:06,3:14,it has two components the first being it has two components the first being the vertex and the second part being the the vertex and the second part being the the vertex and the second part being the edges so here the edge set consists of edges so here the edge set consists of
210.json,Discrete Mathematics by Prof Benny George and  Prof. Sajith Gopalan,NPTEL,3:14,3:30,edges so here the edge set consists of six elements so we can say that this is six elements so we can say that this is six elements so we can say that this is a graph on five vertices and six edges a graph on five vertices and six edges
